Student_Index,Actual_Score,Predicted_Score,Feature,Feature_Value,SHAP_Value,Absolute_SHAP,Impact
0,100.0,94.81944274902344,attendance_percent,98.0,4.523885444641111,4.523885444641111,Increases prediction
0,100.0,94.81944274902344,previous_grade,76.9,2.4445531463623054,2.4445531463623054,Increases prediction
0,100.0,94.81944274902344,study_time_hours,4.0,2.241777091979979,2.241777091979979,Increases prediction
0,100.0,94.81944274902344,internet_access,Yes,1.1561831359863262,1.1561831359863262,Increases prediction
0,100.0,94.81944274902344,part_time_job,No,0.847975730895999,0.847975730895999,Increases prediction
0,100.0,94.81944274902344,extracurricular_activities,Yes,0.3513380889892616,0.3513380889892616,Increases prediction
0,100.0,94.81944274902344,sleep_hours,6.5,-0.33478851318359376,0.33478851318359376,Decreases prediction
0,100.0,94.81944274902344,gender,Male,0.04993737792968744,0.04993737792968744,Increases prediction
0,100.0,94.81944274902344,parental_education,Bachelors,-0.019528152465819914,0.019528152465819914,Decreases prediction
1,100.0,98.64558410644531,study_time_hours,6.3,10.067234405517578,10.067234405517578,Increases prediction
1,100.0,98.64558410644531,attendance_percent,100.0,4.601497879028318,4.601497879028318,Increases prediction
1,100.0,98.64558410644531,part_time_job,Yes,-1.740826919555667,1.740826919555667,Decreases prediction
1,100.0,98.64558410644531,previous_grade,75.5,1.6968834762573224,1.6968834762573224,Increases prediction
1,100.0,98.64558410644531,internet_access,Yes,1.0042181854248042,1.0042181854248042,Increases prediction
1,100.0,98.64558410644531,sleep_hours,5.7,-0.8086169433593738,0.8086169433593738,Decreases prediction
1,100.0,98.64558410644531,extracurricular_activities,Yes,0.323394950866701,0.323394950866701,Increases prediction
1,100.0,98.64558410644531,parental_education,High School,-0.06672149658203068,0.06672149658203068,Decreases prediction
1,100.0,98.64558410644531,gender,Female,0.010266265869141478,0.010266265869141478,Increases prediction
2,97.3,96.06243133544922,previous_grade,88.5,6.347923454284666,6.347923454284666,Increases prediction
2,97.3,96.06243133544922,study_time_hours,4.9,5.665162857055665,5.665162857055665,Increases prediction
2,97.3,96.06243133544922,part_time_job,Yes,-2.0939147033691397,2.0939147033691397,Decreases prediction
2,97.3,96.06243133544922,internet_access,Yes,1.157247756958006,1.157247756958006,Increases prediction
2,97.3,96.06243133544922,sleep_hours,7.9,1.0309102554321257,1.0309102554321257,Increases prediction
2,97.3,96.06243133544922,attendance_percent,85.3,0.6228077697753932,0.6228077697753932,Increases prediction
2,97.3,96.06243133544922,extracurricular_activities,No,-0.2543232192993159,0.2543232192993159,Decreases prediction
2,97.3,96.06243133544922,parental_education,Bachelors,0.03713253021240348,0.03713253021240348,Increases prediction
2,97.3,96.06243133544922,gender,Male,-0.009957839965819915,0.009957839965819915,Decreases prediction
3,83.8,86.34762573242188,previous_grade,85.1,5.4531529312133795,5.4531529312133795,Increases prediction
3,83.8,86.34762573242188,study_time_hours,2.6,-4.43474208068848,4.43474208068848,Decreases prediction
3,83.8,86.34762573242188,attendance_percent,77.5,-2.033060424804687,2.033060424804687,Decreases prediction
3,83.8,86.34762573242188,sleep_hours,8.0,1.2863199768066422,1.2863199768066422,Increases prediction
3,83.8,86.34762573242188,internet_access,Yes,1.2593577728271483,1.2593577728271483,Increases prediction
3,83.8,86.34762573242188,part_time_job,No,0.9026403732299784,0.9026403732299784,Increases prediction
3,83.8,86.34762573242188,extracurricular_activities,Yes,0.47910775756835733,0.47910775756835733,Increases prediction
3,83.8,86.34762573242188,parental_education,High School,-0.10151360321045075,0.10151360321045075,Decreases prediction
3,83.8,86.34762573242188,gender,Male,-0.021777107238769133,0.021777107238769133,Decreases prediction
4,68.3,71.81868743896484,study_time_hours,2.2,-6.60339447784424,6.60339447784424,Decreases prediction
4,68.3,71.81868743896484,previous_grade,61.8,-3.3282885131835966,3.3282885131835966,Decreases prediction
4,68.3,71.81868743896484,part_time_job,Yes,-2.821303878784181,2.821303878784181,Decreases prediction
4,68.3,71.81868743896484,sleep_hours,4.6,-2.0416841506957963,2.0416841506957963,Decreases prediction
4,68.3,71.81868743896484,attendance_percent,89.6,2.0375319290161116,2.0375319290161116,Increases prediction
4,68.3,71.81868743896484,internet_access,Yes,1.2845351943969745,1.2845351943969745,Increases prediction
4,68.3,71.81868743896484,extracurricular_activities,No,-0.28395677185058615,0.28395677185058615,Decreases prediction
4,68.3,71.81868743896484,parental_education,Bachelors,0.01554599761963118,0.01554599761963118,Increases prediction
4,68.3,71.81868743896484,gender,Male,0.002224143981933935,0.002224143981933935,Increases prediction
