,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade
436,-0.03351142816264918,11.591232701601227,-0.41845154341372415,0.2570018578571377,-0.13458733325647426,0.9056851890177192,0.20076672241709073,-1.8466153061916215,-2.2137188502861744
899,-0.03306136536079052,-10.236993020100712,1.5635863277406832,2.0591256588456517,-0.2691695725977625,1.0031926862784901,-0.5053695735937054,1.2856099868619115,-7.497382057944361
346,-0.017082342140226636,1.380478602149509,0.07970124959954325,1.0407614965785055,-0.2622109444457047,0.8918347314119076,-0.5103773197548384,1.1795905932637385,1.9279456035646292
60,-4.56570896893993e-05,0.7587302239552571,-1.644968626539694,0.7815644228891873,0.24863633099239124,0.9526768910085432,0.257176201612841,1.2510803942876083,-1.3118339381354767
867,-0.09887771736893569,1.3647754220746526,0.07132411045510277,1.6460558279174278,0.2563974226729146,0.9416490214304271,0.20454596130097066,1.1122271667071433,0.21277333687329705
432,-0.03973479045660766,-1.1215347253510395,-0.6146095926140466,0.8853529818427219,-0.26684253548557724,0.9456224593940037,-0.5081488887246214,-2.1657638904172063,1.7453485036019352
543,0.0007203563157052173,-1.1824447606657449,4.941796566702826,1.4063375576948582,-0.13865908129068374,0.8496235748472392,-0.4841698144650176,1.042034364290423,4.272396925352143
361,-0.046095892775262826,-5.508815314671464,1.584010008231575,-1.0088827468793675,0.18395296080168197,0.9112712334937906,-0.4968109004402814,-1.9259202533922821,11.036212605155548
486,-0.0019577263762275976,-10.852214468506505,-0.9710679102290158,-1.7186742164222637,-0.29152398587799566,0.9595628918810052,-0.46012490721793725,1.3315573501861433,-0.723773389436705
277,0.0913628735099481,-5.548508891512518,-1.9589677660980938,-0.7510896314185588,-0.24228627603820915,0.9641523595695928,-0.49254782568421457,-2.1650113983270116,2.5379873839409703
